Species	Sp	Duration	Grass	Legume	Herb	func_grp	Significance	Status	Indicator	rare			
"""Sherardia arvensis"""	She_arv	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Silene gallica"""	Sil_gal	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Solanum chenopodioides"""	Sol_che	Perennial	0	0	1	Herb	Z	E	NA	NA			
"""Solanum cinereum"""	Sol_cin	Perennial	0	0	0	Woody_shrub	A	N	1	NA			
"""Solanum nigrum"""	Sol_nig	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Solenogyne dominii"""	Sol_dom	Perennial	0	0	1	Herb	C	N	NA	NA			
"""Sonchus asper"""	Son_asp	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Sonchus oleruceus"""	Son_ole	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Sonchus sp."""	Son_sp.	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Sorghum leiocladum"""	Sor_lei	Perennial	1	0	0	C4	A	N	1	NA			
"""Stackhousia monogyna"""	Sta_mon	Perennial	0	0	1	Herb	A	N	1	NA			
"""Stellaria pungens"""	Ste_pun	Perennial	0	0	1	Herb	A	N	1	NA			
"""Stuartina hamata"""	Stu_ham	Annual	0	0	1	Herb	C	N	NA	NA			
"""Swainsona sericea"""	Swa_ser	Perennial	0	0	1	Herb	A	N	1	R			
"""Taraxacum sect. ruderallia"""	Tar_sec	Perennial	0	0	1	Herb	NA	E	NA	NA			
"""Taraxacum sp."""	Tar_sp.	Perennial	0	0	1	Herb	NA	E	NA	NA			
"""Themeda triandra"""	The_tri	Perennial	1	0	0	C4	A	N	1	NA			
"""Tolpis barbata"""	Tol_bar	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Tragopogon porrifolius"""	Tra_por	Annual	0	0	1	Herb	Y	E	NA	NA			
"""Tricoryne elatior"""	Tri_ela	Perennial	0	0	1	Herb	A	N	1	NA			
"""Trifolium angustifolium"""	Tri_ang	Annual	0	1	1	Leguminous_herb	Z/Y	E	NA	NA			
"""Trifolium arvense"""	Tri_arv	Annual	0	1	1	Leguminous_herb	Z	E	NA	NA			
"""Trifolium campestre"""	Tri_cam	Annual	0	1	1	Leguminous_herb	Z	E	NA	NA			
"""Trifolium dubium"""	Tri_dub	Annual	0	1	1	Leguminous_herb	Z	E	NA	NA			
"""Trifolium glomeratum"""	Tri_glo	Annual	0	1	1	Leguminous_herb	Z	E	NA	NA			
"""Trifolium sp."""	Tri_sp.	Annual	0	1	1	Leguminous_herb	Z	E	NA	NA			
"""Trifolium stellatum?"""	Tri_ste	Annual	0	1	1	Leguminous_herb	NA	E	NA	NA			
"""Trifolium striatum"""	Tri_str	Annual	0	1	1	Leguminous_herb	Z	E	NA	NA			
"""Trifolium subterraneum"""	Tri_sub	Annual	0	1	1	Leguminous_herb	Y	E	NA	NA			
"""Triptilodiscus pygmaeus"""	Tri_pyg	Annual	0	0	1	Herb	B	N	1	NA			
"""Urtica incisa"""	Urt_inc	Perennial	0	0	1	Herb	C	N	NA	NA			
